piva,nome,tel,email,id_prodotto
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,1
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,2
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,3
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,4
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,5
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,6
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,7
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,8
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,9
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,10
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,11
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,12
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,13
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,14
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,15
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,16
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,17
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,18
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,19
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,20
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,21
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,22
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,23
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,24
IT01234567890,MediaWorld,+390210000001,ordini@mediaworld.it,25
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,26
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,27
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,28
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,29
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,30
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,31
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,32
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,33
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,34
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,35
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,36
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,37
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,38
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,39
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,40
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,41
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,42
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,43
